Taxa,Group
Am_tu_Aint.FinalORFs.AA,Group_1
Am_tu_Amsp.FinalORFs.AA,Group_6
Am_tu_Apro.FinalORFs.AA,Group_7
Am_tu_As01.FinalORFs.AA,Group_1
Am_tu_As02.FinalORFs.AA,Group_1
Am_tu_As03.FinalORFs.AA,Group_1
Am_tu_As04.FinalORFs.AA,Group_1
Am_tu_As06.FinalORFs.AA,Group_1
Am_tu_As07.FinalORFs.AA,Group_1
Am_tu_Cesp.FinalORFs.AA,Group_6
Am_tu_Cimp.FinalORFs.AA,Group_1
Am_tu_Cpro.FinalORFs.AA,Group_6
Am_tu_Crsp.FinalORFs.AA,Group_6
Am_tu_Dbry.FinalORFs.AA,Group_4
Am_tu_Dcom.FinalORFs.AA,Group_4
Am_tu_Dfsp.FinalORFs.AA,Group_4
Am_tu_Disp.FinalORFs.AA,Group_6
Am_tu_He01.FinalORFs.AA,Group_2
Am_tu_He02.FinalORFs.AA,Group_2
Am_tu_He04.FinalORFs.AA,Group_2
Am_tu_He07.FinalORFs.AA,Group_2
Am_tu_He12.FinalORFs.AA,Group_2
Am_tu_He13.FinalORFs.AA,Group_2
Am_tu_He14.FinalORFs.AA,Group_2
Am_tu_He15.FinalORFs.AA,Group_2
Am_tu_He16.FinalORFs.AA,Group_2
Am_tu_He17.FinalORFs.AA,Group_2
Am_tu_He18.FinalORFs.AA,Group_2
Am_tu_He19.FinalORFs.AA,Group_2
Am_tu_He20.FinalORFs.AA,Group_2
Am_tu_He21.FinalORFs.AA,Group_2
Am_tu_He22.FinalORFs.AA,Group_2
Am_tu_He23.FinalORFs.AA,Group_2
Am_tu_He24.FinalORFs.AA,Group_2
Am_tu_He25.FinalORFs.AA,Group_2
Am_tu_He26.FinalORFs.AA,Group_2
Am_tu_He27.FinalORFs.AA,Group_2
Am_tu_He28.FinalORFs.AA,Group_2
Am_tu_He29.FinalORFs.AA,Group_2
Am_tu_He30.FinalORFs.AA,Group_2
Am_tu_He40.FinalORFs.AA,Group_2
Am_tu_He41.FinalORFs.AA,Group_2
Am_tu_He42.FinalORFs.AA,Group_2
Am_tu_He43.FinalORFs.AA,Group_2
Am_tu_He44.FinalORFs.AA,Group_2
Am_tu_He46.FinalORFs.AA,Group_2
Am_tu_He47.FinalORFs.AA,Group_2
Am_tu_He48.FinalORFs.AA,Group_2
Am_tu_He49.FinalORFs.AA,Group_2
Am_tu_He51.FinalORFs.AA,Group_2
Sr_rh_Rfil.FinalORFs.AA,Group_7
Sr_st_Croe.FinalORFs.AA,Group_7
Sr_st_Esil.FinalORFs.AA,Group_7
Sr_st_Ngad.FinalORFs.AA,Group_7
Sr_st_Pinf.FinalORFs.AA,Group_7
Sr_st_Ptri.FinalORFs.AA,Group_7
Za_eb_Mspa.FinalORFs.AA,Group_7
Za_eh_Haci.FinalORFs.AA,Group_7
Za_eh_Ngre.FinalORFs.AA,Group_7
Am_tu_He52.FinalORFs.AA,Group_2
Am_tu_He53.FinalORFs.AA,Group_2
Am_tu_He54.FinalORFs.AA,Group_2
Am_tu_HepA.FinalORFs.AA,Group_2
Am_tu_HepB.FinalORFs.AA,Group_2
Am_tu_Hp01.FinalORFs.AA,Group_8
Am_tu_Hp02.FinalORFs.AA,Group_8
Am_tu_Hp03.FinalORFs.AA,Group_8
Am_tu_Hp04.FinalORFs.AA,Group_8
Am_tu_Hp06.FinalORFs.AA,Group_8
Am_tu_Hp07.FinalORFs.AA,Group_8
Am_tu_Hp08.FinalORFs.AA,Group_8
Am_tu_Hp09.FinalORFs.AA,Group_8
Am_tu_Hp10.FinalORFs.AA,Group_8
Am_tu_Hp11.FinalORFs.AA,Group_8
Am_tu_Hp12.FinalORFs.AA,Group_8
Am_tu_Hp13.FinalORFs.AA,Group_8
Am_tu_Hp14.FinalORFs.AA,Group_8
Am_tu_Hp15.FinalORFs.AA,Group_8
Am_tu_Hp16.FinalORFs.AA,Group_8
Am_tu_Hp17.FinalORFs.AA,Group_8
Am_tu_Hp18.FinalORFs.AA,Group_8
Am_tu_Hp19.FinalORFs.AA,Group_8
Am_tu_Hp20.FinalORFs.AA,Group_8
