Orthogroup,Group
Am_ar_Ehis.FinalORFs.AA,Non_Arcellinida
Am_di_Acas.FinalORFs.AA,Non_Arcellinida
Am_my_Asub.FinalORFs.AA,Non_Arcellinida
Am_my_Ddis.FinalORFs.AA,Non_Arcellinida
Am_my_Tlac.FinalORFs.AA,Non_Arcellinida
Am_tu_Aint.FinalORFs.AA,Sphaerothecina
Am_tu_Amsp.FinalORFs.AA,Misc_Arcellinida
Am_tu_Apro.FinalORFs.AA,Non_Arcellinida
Am_tu_As01.FinalORFs.AA,Sphaerothecina
Am_tu_As02.FinalORFs.AA,Sphaerothecina
Am_tu_As03.FinalORFs.AA,Sphaerothecina
Am_tu_As04.FinalORFs.AA,Sphaerothecina
Am_tu_As06.FinalORFs.AA,Sphaerothecina
Am_tu_As07.FinalORFs.AA,Sphaerothecina
Am_tu_Cesp.FinalORFs.AA,Misc_Arcellinida
Am_tu_Cimp.FinalORFs.AA,Sphaerothecina
Am_tu_Cpro.FinalORFs.AA,Misc_Arcellinida
Am_tu_Crsp.FinalORFs.AA,Misc_Arcellinida
Am_tu_Dbry.FinalORFs.AA,Centropyxis_Difflugia_Lesquereusia
Am_tu_Dcom.FinalORFs.AA,Centropyxis_Difflugia_Lesquereusia
Am_tu_Dfsp.FinalORFs.AA,Centropyxis_Difflugia_Lesquereusia
Am_tu_Disp.FinalORFs.AA,Misc_Arcellinida
Am_tu_He01.FinalORFs.AA,H_elegans
Am_tu_He04.FinalORFs.AA,H_elegans
Am_tu_He12.FinalORFs.AA,H_elegans
Am_tu_He14.FinalORFs.AA,H_elegans
Am_tu_He16.FinalORFs.AA,H_elegans
Am_tu_He19.FinalORFs.AA,H_elegans
Am_tu_He21.FinalORFs.AA,H_elegans
Am_tu_He24.FinalORFs.AA,H_elegans
Am_tu_He26.FinalORFs.AA,H_elegans
Am_tu_He28.FinalORFs.AA,H_elegans
Am_tu_He29.FinalORFs.AA,H_elegans
Am_tu_He30.FinalORFs.AA,H_elegans
Am_tu_He41.FinalORFs.AA,H_elegans
Am_tu_He42.FinalORFs.AA,H_elegans
Am_tu_He44.FinalORFs.AA,H_elegans
Am_tu_He47.FinalORFs.AA,H_elegans
Am_tu_He48.FinalORFs.AA,H_elegans
Am_tu_He51.FinalORFs.AA,H_elegans
Am_tu_He52.FinalORFs.AA,H_elegans
Am_tu_He54.FinalORFs.AA,H_elegans
Am_tu_HepA.FinalORFs.AA,H_elegans
Am_tu_HepB.FinalORFs.AA,H_elegans
Am_tu_Hp01.FinalORFs.AA,H_papilio
Am_tu_Hp02.FinalORFs.AA,H_papilio
Am_tu_Hp03.FinalORFs.AA,H_papilio
Am_tu_Hp04.FinalORFs.AA,H_papilio
Am_tu_Hp06.FinalORFs.AA,H_papilio
Am_tu_Hp07.FinalORFs.AA,H_papilio
Ba_ac_Srap.Universal.AA,Non_Arcellinida
Ba_ad_Gtun.Universal.AA,Non_Arcellinida
Ba_aq_Aaeo.Universal.AA,Non_Arcellinida
Ba_ba_Bcae_XX_Ba_ba_Bcae_Bacteroides_caecimuris_GCF_001688725.2_ASM168872v2_genomic.WGS.CDS.Renamed.Universal.AA,Non_Arcellinida
Ba_bc_Cchl.Universal.AA,Non_Arcellinida
Ba_bi_Ialb_XX.Universal.AA,Non_Arcellinida
Ba_ca_Cexi.Universal.AA,Non_Arcellinida
Ba_cd_Cavi.Universal.AA,Non_Arcellinida
Ba_cd_Cbac.Universal.AA,Non_Arcellinida
Ba_cv_Vesp.Universal.AA,Non_Arcellinida
Ba_cy_Glit.Universal.AA,Non_Arcellinida
Ba_cy_Smaj.Universal.AA,Non_Arcellinida
Ba_de_Dswu.AA,Non_Arcellinida
Ba_df_Ddes.Universal.AA,Non_Arcellinida
Ba_fc_Ccel.Universal.AA,Non_Arcellinida
Am_tu_Hp08.FinalORFs.AA,H_papilio
Am_tu_Hp09.FinalORFs.AA,H_papilio
Am_tu_Hp11.FinalORFs.AA,H_papilio
Am_tu_Hp12.FinalORFs.AA,H_papilio
Am_tu_Hp13.FinalORFs.AA,H_papilio
Am_tu_Hp14.FinalORFs.AA,H_papilio
Am_tu_Hp15.FinalORFs.AA,H_papilio
Am_tu_Hp16.FinalORFs.AA,H_papilio
Am_tu_Hp17.FinalORFs.AA,H_papilio
Am_tu_Hp18.FinalORFs.AA,H_papilio
Am_tu_Hp19.FinalORFs.AA,H_papilio
Am_tu_Hp20.FinalORFs.AA,H_papilio
Am_tu_Hp21.FinalORFs.AA,H_papilio
Am_tu_Hp22.FinalORFs.AA,H_papilio
Am_tu_Hp23.FinalORFs.AA,H_papilio
Am_tu_Hp24.FinalORFs.AA,H_papilio
Am_tu_Hp25.FinalORFs.AA,H_papilio
Am_tu_Hp27.FinalORFs.AA,H_papilio
Am_tu_Hp28.FinalORFs.AA,H_papilio
Am_tu_Hp29.FinalORFs.AA,H_papilio
Am_tu_Hp30.FinalORFs.AA,H_papilio
Am_tu_Hp31.FinalORFs.AA,H_papilio
Am_tu_Hp32.FinalORFs.AA,H_papilio
Am_tu_Hp76.FinalORFs.AA,H_papilio
Am_tu_Hp77.FinalORFs.AA,H_papilio
Am_tu_Hp78.FinalORFs.AA,H_papilio
Am_tu_Hp79.FinalORFs.AA,H_papilio
Am_tu_Hp80.FinalORFs.AA,H_papilio
Am_tu_Hp81.FinalORFs.AA,H_papilio
Am_tu_Hp82.FinalORFs.AA,H_papilio
Am_tu_Hp83.FinalORFs.AA,H_papilio
Am_tu_Hp84.FinalORFs.AA,H_papilio
Am_tu_Hp85.FinalORFs.AA,H_papilio
Am_tu_Hp86.FinalORFs.AA,H_papilio
Am_tu_Hp87.FinalORFs.AA,H_papilio
Am_tu_Hp88.FinalORFs.AA,H_papilio
Am_tu_Hp89.FinalORFs.AA,H_papilio
Am_tu_Hp90.FinalORFs.AA,H_papilio
Am_tu_Hp91.FinalORFs.AA,H_papilio
Am_tu_Hp92.FinalORFs.AA,H_papilio
Am_tu_Hr01.FinalORFs.AA,Heleopera
Am_tu_Hr02.FinalORFs.AA,Heleopera
Am_tu_Hr03.FinalORFs.AA,Heleopera
Am_tu_Hs01.FinalORFs.AA,Heleopera
Am_tu_Hs05.FinalORFs.AA,Heleopera
Am_tu_Hsph.FinalORFs.AA,Heleopera
Am_tu_Ls01.FinalORFs.AA,Centropyxis_Difflugia_Lesquereusia
Am_tu_Ls02.FinalORFs.AA,Centropyxis_Difflugia_Lesquereusia
Am_tu_Ls04.FinalORFs.AA,Centropyxis_Difflugia_Lesquereusia
Am_tu_Ls05.FinalORFs.AA,Centropyxis_Difflugia_Lesquereusia
Am_tu_Nc01.FinalORFs.AA,Nebela
Am_tu_Nc02.FinalORFs.AA,Nebela
Am_tu_Nesp.FinalORFs.AA,Nebela
Am_tu_Nf01.FinalORFs.AA,Nebela
Am_tu_Nf02.FinalORFs.AA,Nebela
Am_tu_Nf03.FinalORFs.AA,Nebela
Am_tu_Nm01.FinalORFs.AA,Nebela
Ba_fu_Fnec.Universal.AA,Non_Arcellinida
Ba_pl_Plsp_XX.Universal.AA,Non_Arcellinida
Am_tu_Nosp.FinalORFs.AA,Nebela
Am_tu_Ns03.FinalORFs.AA,Nebela
Am_tu_Ns04.FinalORFs.AA,Nebela
Am_tu_Ns05.FinalORFs.AA,Nebela
Am_tu_Ns06.FinalORFs.AA,Nebela
Am_tu_Ns07.FinalORFs.AA,Nebela
Am_tu_Ns08.FinalORFs.AA,Nebela
Am_tu_Ns09.FinalORFs.AA,Nebela
Am_tu_Ns10.FinalORFs.AA,Nebela
Am_tu_Ns11.FinalORFs.AA,Nebela
Am_tu_Ns12.FinalORFs.AA,Nebela
Am_tu_Ns13.FinalORFs.AA,Nebela
Am_tu_Ns14.FinalORFs.AA,Nebela
Am_tu_Ns15.FinalORFs.AA,Nebela
Am_tu_Ns16.FinalORFs.AA,Nebela
Am_tu_Ns17.FinalORFs.AA,Nebela
Am_tu_Ns18.FinalORFs.AA,Nebela
Am_tu_Ns21.FinalORFs.AA,Nebela
Am_tu_Ns22.FinalORFs.AA,Nebela
Am_tu_Ns23.FinalORFs.AA,Nebela
Am_tu_NspA.FinalORFs.AA,Nebela
Am_tu_Nt01.FinalORFs.AA,Nebela
Am_tu_Nt02.FinalORFs.AA,Nebela
Am_tu_Ntsp.FinalORFs.AA,Nebela
Am_tu_Pc01.FinalORFs.AA,Nebela
Am_tu_Pope.FinalORFs.AA,Sphaerothecina
Am_tu_Ps01.FinalORFs.AA,Non_Arcellinida
Am_tu_Qs01.FinalORFs.AA,Misc_Arcellinida
Am_tu_Qs02.FinalORFs.AA,Misc_Arcellinida
Am_tu_Qs03.FinalORFs.AA,Misc_Arcellinida
Am_tu_Sesp.FinalORFs.AA,Misc_Arcellinida
Am_tu_Vesp.FinalORFs.AA,Non_Arcellinida
Am_uk_Uk01.FinalORFs.AA,Non_Arcellinida
Am_va_Pfun.FinalORFs.AA,Non_Arcellinida
Ba_aq_Pmar.FinalORFs.AA,Non_Arcellinida
Ba_ba_Bfra.FinalORFs.AA,Non_Arcellinida
Ba_ch_Caur.FinalORFs.AA,Non_Arcellinida
Ba_cy_Maer.FinalORFs.AA,Non_Arcellinida
Ba_cy_Prma.FinalORFs.AA,Non_Arcellinida
Ba_pa_Abra.FinalORFs.AA,Non_Arcellinida
Ba_pb_Bpse.FinalORFs.AA,Non_Arcellinida
Ba_pg_Ecol.FinalORFs.AA,Non_Arcellinida
Ba_sp_Bmay_XX.Universal.AA,Non_Arcellinida
EE_ap_Ttra.FinalORFs.AA,Non_Arcellinida
EE_ha_Ctob.FinalORFs.AA,Non_Arcellinida
EE_ha_Ehux.FinalORFs.AA,Non_Arcellinida
Ex_eu_Lmaj.FinalORFs.AA,Non_Arcellinida
Ex_eu_Tbru.FinalORFs.AA,Non_Arcellinida
Ex_fo_Glab.FinalORFs.AA,Non_Arcellinida
Ex_fo_Ssal.FinalORFs.AA,Non_Arcellinida
Ex_he_Ngru.FinalORFs.AA,Non_Arcellinida
Ex_pa_Tvag.FinalORFs.AA,Non_Arcellinida
Op_fu_Afum.FinalORFs.AA,Non_Arcellinida
Op_fu_Aory.FinalORFs.AA,Non_Arcellinida
Ba_sy_Sjon.Universal.AA,Non_Arcellinida
Ba_ts_Tthe.AA,Non_Arcellinida
Op_fu_Calb.FinalORFs.AA,Non_Arcellinida
Op_fu_Cneo.FinalORFs.AA,Non_Arcellinida
Op_fu_Dpri.FinalORFs.AA,Non_Arcellinida
Op_fu_Scer.FinalORFs.AA,Non_Arcellinida
Op_me_Amel.FinalORFs.AA,Non_Arcellinida
Op_me_Bflo.FinalORFs.AA,Non_Arcellinida
Op_me_Ggal.FinalORFs.AA,Non_Arcellinida
Op_me_Hrob.FinalORFs.AA,Non_Arcellinida
Op_me_Hsap.FinalORFs.AA,Non_Arcellinida
Op_me_Tspi.FinalORFs.AA,Non_Arcellinida
Pl_gr_Atha.FinalORFs.AA,Non_Arcellinida
