Orthogroup,Group
Am_ar_Ehis.FinalORFs.AA,Group_7
Am_di_Acas.FinalORFs.AA,Group_7
Am_my_Asub.FinalORFs.AA,Group_7
Am_my_Ddis.FinalORFs.AA,Group_7
Am_my_Tlac.FinalORFs.AA,Group_7
Am_tu_Aint.TIdeS_Pred.AA,Group_1
Am_tu_Amsp.TIdeS_Pred.AA,Group_6
Am_tu_Apro.TIdeS_Pred.AA,Group_7
Am_tu_As01.TIdeS_Pred.AA,Group_1
Am_tu_As02.TIdeS_Pred.AA,Group_1
Am_tu_As03.TIdeS_Pred.AA,Group_1
Am_tu_As04.TIdeS_Pred.AA,Group_1
Am_tu_As06.TIdeS_Pred.AA,Group_1
Am_tu_As07.TIdeS_Pred.AA,Group_1
Am_tu_Cesp.TIdeS_Pred.AA,Group_6
Am_tu_Cimp.TIdeS_Pred.AA,Group_1
Am_tu_Cpro.TIdeS_Pred.AA,Group_6
Am_tu_Crsp.TIdeS_Pred.AA,Group_6
Am_tu_Dbry.TIdeS_Pred.AA,Group_4
Am_tu_Dcom.TIdeS_Pred.AA,Group_4
Am_tu_Dfsp.TIdeS_Pred.AA,Group_4
Am_tu_Disp.TIdeS_Pred.AA,Group_6
Am_tu_He01,Group_2
Am_tu_He04,Group_2
Am_tu_He12,Group_2
Am_tu_He14,Group_2
Am_tu_He16,Group_2
Am_tu_He19,Group_2
Am_tu_He21,Group_2
Am_tu_He24,Group_2
Am_tu_He26,Group_2
Am_tu_He28,Group_2
Am_tu_He29,Group_2
Am_tu_He30,Group_2
Am_tu_He41,Group_2
Am_tu_He42,Group_2
Am_tu_He43,Group_2
Am_tu_He44,Group_2
Am_tu_He47,Group_2
Am_tu_He48,Group_2
Am_tu_He51,Group_2
Am_tu_He52,Group_2
Am_tu_He54,Group_2
Am_tu_Hp.TIdeS_Pred.AA,Group_8
Am_tu_Hp01,Group_8
Am_tu_Hp02,Group_8
Am_tu_Hp03,Group_8
Am_tu_Hp04,Group_8
Am_tu_Hp06,Group_8
Am_tu_Hp07,Group_8
Am_tu_Hp08,Group_8
Am_tu_Hp09,Group_8
Am_tu_Hp11,Group_8
Am_tu_Hp12,Group_8
Am_tu_Hp13,Group_8
Am_tu_Hp14,Group_8
Am_tu_Hp15,Group_8
Am_tu_Hp16,Group_8
Am_tu_Hp17,Group_8
Am_tu_Hp18,Group_8
Am_tu_Hp19,Group_8
Am_tu_Hp20,Group_8
Am_tu_Hp21,Group_8
Am_tu_Hp22,Group_8
Am_tu_Hp23,Group_8
Am_tu_Hp24,Group_8
Am_tu_Hp25,Group_8
Am_tu_Hp27,Group_8
Am_tu_Hp28,Group_8
Am_tu_Hp29,Group_8
Am_tu_Hp30,Group_8
Am_tu_Hp31,Group_8
Am_tu_Hp32,Group_8
Am_tu_Hp76,Group_8
Am_tu_Hp77,Group_8
Am_tu_Hp78,Group_8
Am_tu_Hp79,Group_8
Am_tu_Hp80,Group_8
Am_tu_Hp81,Group_8
Am_tu_Hp82,Group_8
Am_tu_Hp83,Group_8
Am_tu_Hp84,Group_8
Am_tu_Hp85,Group_8
Am_tu_Hp86,Group_8
Am_tu_Hp87,Group_8
Am_tu_Hp88,Group_8
Am_tu_Hp89,Group_8
Am_tu_Hp90,Group_8
Am_tu_Hp91,Group_8
Am_tu_Hp92,Group_8
Am_tu_Hr01.TIdeS_Pred.AA,Group_5
Am_tu_Hr02.TIdeS_Pred.AA,Group_5
Am_tu_Hr03.TIdeS_Pred.AA,Group_5
Am_tu_Hs01.TIdeS_Pred.AA,Group_5
Am_tu_Hs05.TIdeS_Pred.AA,Group_5
Am_tu_Hsph.TIdeS_Pred.AA,Group_5
Am_tu_Ls01.TIdeS_Pred.AA,Group_4
Am_tu_Ls04.TIdeS_Pred.AA,Group_4
Am_tu_Ls05.TIdeS_Pred.AA,Group_4
Am_tu_Nc01.TIdeS_Pred.AA,Group_3
Am_tu_Nc02.TIdeS_Pred.AA,Group_3
Am_tu_Nesp.TIdeS_Pred.AA,Group_3
Am_tu_Nf01.TIdeS_Pred.AA,Group_3
Am_tu_Nf02.TIdeS_Pred.AA,Group_3
Am_tu_Nf03.TIdeS_Pred.AA,Group_3
Am_tu_Nm01.TIdeS_Pred.AA,Group_3
Am_tu_Nosp.TIdeS_Pred.AA,Group_3
Am_tu_Ns03.TIdeS_Pred.AA,Group_3
Am_tu_Ns04.TIdeS_Pred.AA,Group_3
Am_tu_Ns05.TIdeS_Pred.AA,Group_3
Am_tu_Ns06.TIdeS_Pred.AA,Group_3
Am_tu_Ns07.TIdeS_Pred.AA,Group_3
Am_tu_Ns08.TIdeS_Pred.AA,Group_3
Am_tu_Ns09.TIdeS_Pred.AA,Group_3
Am_tu_Ns10.TIdeS_Pred.AA,Group_3
Am_tu_Ns11.TIdeS_Pred.AA,Group_3
Am_tu_Ns12.TIdeS_Pred.AA,Group_3
Am_tu_Ns13.TIdeS_Pred.AA,Group_3
Am_tu_Ns14.TIdeS_Pred.AA,Group_3
Am_tu_Ns15.TIdeS_Pred.AA,Group_3
Am_tu_Ns16.TIdeS_Pred.AA,Group_3
Am_tu_Ns17.TIdeS_Pred.AA,Group_3
Am_tu_Ns18.TIdeS_Pred.AA,Group_3
Am_tu_Ns21.TIdeS_Pred.AA,Group_3
Am_tu_Ns22.TIdeS_Pred.AA,Group_3
Am_tu_NspA.TIdeS_Pred.AA,Group_3
Am_tu_Nt01.TIdeS_Pred.AA,Group_3
Am_tu_Nt02.TIdeS_Pred.AA,Group_3
Am_tu_Ntsp.TIdeS_Pred.AA,Group_1
Am_tu_Pc01.TIdeS_Pred.AA,Group_3
Am_tu_Pope.TIdeS_Pred.AA,Group_1
Am_tu_Ps01.TIdeS_Pred.AA,Group_7
Am_tu_Qs01.TIdeS_Pred.AA,Group_6
Am_tu_Qs02.TIdeS_Pred.AA,Group_6
Am_tu_Qs03.TIdeS_Pred.AA,Group_6
Am_tu_Vesp.TIdeS_Pred.AA,Group_7
Am_uk_Uk01.TIdeS_Pred.AA,Group_7
Am_va_Pfun.FinalORFs.AA,Group_7
Ba_ac_Srap.Universal.AA,Group_7
Ba_ad_Gtun.Universal.AA,Group_7
Ba_aq_Aaeo.Universal.AA,Group_7
Ba_aq_Pmar.FinalORFs.AA,Group_7
Ba_ba_Bcae_XX_Ba_ba_Bcae_Bacteroides_caecimuris_GCF_001688725.2_ASM168872v2_genomic.WGS.CDS.Renamed.Universal.AA,Group_7
Ba_ba_Bfra.FinalORFs.AA,Group_7
Ba_bc_Cchl.Universal.AA,Group_7
Ba_bi_Ialb_XX.Universal.AA,Group_7
Ba_ca_Cexi.Universal.AA,Group_7
Ba_cd_Cavi.Universal.AA,Group_7
Ba_cd_Cbac.Universal.AA,Group_7
Ba_ch_Caur.FinalORFs.AA,Group_7
Ba_cv_Vesp.Universal.AA,Group_7
Ba_cy_Glit.Universal.AA,Group_7
Ba_cy_Maer.FinalORFs.AA,Group_7
Ba_cy_Prma.FinalORFs.AA,Group_7
Ba_cy_Smaj.Universal.AA,Group_7
Ba_de_Dswu.AA,Group_7
Ba_df_Ddes.Universal.AA,Group_7
Ba_fc_Ccel.Universal.AA,Group_7
Ba_fu_Fnec.Universal.AA,Group_7
Ba_pa_Abra.FinalORFs.AA,Group_7
Ba_pb_Bpse.FinalORFs.AA,Group_7
Ba_pg_Ecol.FinalORFs.AA,Group_7
Ba_pl_Plsp_XX.Universal.AA,Group_7
Ba_sp_Bmay_XX.Universal.AA,Group_7
Ba_sy_Sjon.Universal.AA,Group_7
Ba_ts_Tthe.AA,Group_7
EE_ap_Ttra.FinalORFs.AA,Group_7
EE_ha_Ctob.FinalORFs.AA,Group_7
EE_ha_Ehux.FinalORFs.AA,Group_7
Ex_eu_Lmaj.FinalORFs.AA,Group_7
Ex_eu_Tbru.FinalORFs.AA,Group_7
Ex_fo_Glab.FinalORFs.AA,Group_7
Ex_fo_Ssal.FinalORFs.AA,Group_7
Ex_he_Ngru.FinalORFs.AA,Group_7
Ex_pa_Tvag.FinalORFs.AA,Group_7
Op_fu_Afum.FinalORFs.AA,Group_7
Op_fu_Aory.FinalORFs.AA,Group_7
Op_fu_Calb.FinalORFs.AA,Group_7
Op_fu_Cneo.FinalORFs.AA,Group_7
Op_fu_Dpri.FinalORFs.AA,Group_7
Op_fu_Scer.FinalORFs.AA,Group_7
Op_me_Amel.FinalORFs.AA,Group_7
Op_me_Bflo.FinalORFs.AA,Group_7
Op_me_Ggal.FinalORFs.AA,Group_7
Op_me_Hrob.FinalORFs.AA,Group_7
Op_me_Hsap.FinalORFs.AA,Group_7
Op_me_Tspi.FinalORFs.AA,Group_7
Pl_gr_Atha.FinalORFs.AA,Group_7
Pl_gr_Crei.FinalORFs.AA,Group_7
Pl_gr_Cvar.FinalORFs.AA,Group_7
Pl_gr_Hann.FinalORFs.AA,Group_7
Pl_gr_Oluc.FinalORFs.AA,Group_7
Pl_rh_Ccri.FinalORFs.AA,Group_7
Pl_rh_Gsul.FinalORFs.AA,Group_7
Sr_ap_Cmur.FinalORFs.AA,Group_7
Sr_ap_Emax.FinalORFs.AA,Group_7
Sr_ap_Pfal.FinalORFs.AA,Group_7
Sr_ap_Tgon.FinalORFs.AA,Group_7
Sr_ci_Scer.FinalORFs.AA,Group_7
Sr_ci_Slem.FinalORFs.AA,Group_7
Sr_ci_Tthe.FinalORFs.AA,Group_7
Sr_di_Smic.FinalORFs.AA,Group_7
Sr_pe_Pmar.FinalORFs.AA,Group_7
Sr_rh_Bnat.FinalORFs.AA,Group_7
Sr_rh_Pbra.FinalORFs.AA,Group_7
Sr_rh_Rfil.FinalORFs.AA,Group_7
Sr_st_Croe.FinalORFs.AA,Group_7
Sr_st_Esil.FinalORFs.AA,Group_7
Sr_st_Ngad.FinalORFs.AA,Group_7
Sr_st_Pinf.FinalORFs.AA,Group_7
Sr_st_Ptri.FinalORFs.AA,Group_7
Za_as_Loki.FinalORFs.AA,Group_7
Za_cr_Clag.FinalORFs.AA,Group_7
Za_cr_Sisl.FinalORFs.AA,Group_7
Za_eb_Mspa.FinalORFs.AA,Group_7
Za_eh_Haci.FinalORFs.AA,Group_7
Za_eh_Ngre.FinalORFs.AA,Group_7
Za_em_Mhol.FinalORFs.AA,Group_7
Za_ep_Tvol.FinalORFs.AA,Group_7
Za_ko_Ckor.FinalORFs.AA,Group_7
Za_na_Nequ.FinalORFs.AA,Group_7
Za_pa_Maci.FinalORFs.AA,Group_7
Za_th_Ngar.FinalORFs.AA,Group_7
