Orthogroup,Group,Color,Location
Am_ar_Ehis.FinalORFs.AA,Non_Arcellinida,red,NA
Am_di_Acas.FinalORFs.AA,Non_Arcellinida,red,NA
Am_my_Asub.FinalORFs.AA,Non_Arcellinida,red,NA
Am_my_Ddis.FinalORFs.AA,Non_Arcellinida,red,NA
Am_my_Tlac.FinalORFs.AA,Non_Arcellinida,red,NA
Am_tu_Aint.TIdeS_Pred.AA,Sphaerothecina,green,NA
Am_tu_Amsp.TIdeS_Pred.AA,Misc_Arcellinida,blue,NA
Am_tu_Apro.TIdeS_Pred.AA,Non_Arcellinida,red,NA
Am_tu_As01.TIdeS_Pred.AA,Sphaerothecina,green,Great_Cranberry_Island
Am_tu_As02.TIdeS_Pred.AA,Sphaerothecina,green,Harvard_Forest
Am_tu_As03.TIdeS_Pred.AA,Sphaerothecina,green,Great_Cranberry_Island
Am_tu_As04.TIdeS_Pred.AA,Sphaerothecina,green,Acadia
Am_tu_As06.TIdeS_Pred.AA,Sphaerothecina,green,NA
Am_tu_As07.TIdeS_Pred.AA,Sphaerothecina,green,NA
Am_tu_Cesp.TIdeS_Pred.AA,Misc_Arcellinida,blue,NA
Am_tu_Cimp.TIdeS_Pred.AA,Sphaerothecina,green,NA
Am_tu_Cpro.TIdeS_Pred.AA,Misc_Arcellinida,blue,NA
Am_tu_Crsp.TIdeS_Pred.AA,Misc_Arcellinida,blue,NA
Am_tu_Dbry.TIdeS_Pred.AA,Centropyxis_Difflugia_Lesquereusia,yellow,NA
Am_tu_Dcom.TIdeS_Pred.AA,Centropyxis_Difflugia_Lesquereusia,yellow,NA
Am_tu_Dfsp.TIdeS_Pred.AA,Centropyxis_Difflugia_Lesquereusia,yellow,NA
Am_tu_Disp.TIdeS_Pred.AA,Misc_Arcellinida,blue,NA
Am_tu_He01,H_elegans,firebrick3,Hawley_Bog
Am_tu_He04,H_elegans,firebrick3,Hawley_Bog
Am_tu_He12,H_elegans,firebrick3,Acadia
Am_tu_He14,H_elegans,firebrick3,Acadia
Am_tu_He16,H_elegans,firebrick3,Hawley_Bog
Am_tu_He19,H_elegans,firebrick3,Acadia
Am_tu_He21,H_elegans,firebrick3,Harvard_Forest
Am_tu_He24,H_elegans,firebrick3,Orono
Am_tu_He26,H_elegans,firebrick3,Hawley_Bog
Am_tu_He28,H_elegans,firebrick3,Acadia
Am_tu_He29,H_elegans,firebrick3,Harvard_Forest
Am_tu_He30,H_elegans,firebrick3,Acadia
Am_tu_He41,H_elegans,firebrick3,Hawley_Bog
Am_tu_He42,H_elegans,firebrick3,Acadia
Am_tu_He44,H_elegans,firebrick3,Hawley_Bog
Am_tu_He47,H_elegans,firebrick3,Acadia
Am_tu_He48,H_elegans,firebrick3,Acadia
Am_tu_He51,H_elegans,firebrick3,Orono
Am_tu_He52,H_elegans,firebrick3,Acadia
Am_tu_He54,H_elegans,firebrick3,Orono
Am_tu_Hp01,H_papilio,darkseagreen4,Hawley_Bog
Am_tu_Hp02,H_papilio,darkseagreen4,Hawley_Bog
Am_tu_Hp03,H_papilio,darkseagreen4,Hawley_Bog
Am_tu_Hp04,H_papilio,darkseagreen4,Hawley_Bog
Am_tu_Hp06,H_papilio,darkseagreen4,Hawley_Bog
Am_tu_Hp07,H_papilio,darkseagreen4,Hawley_Bog
Am_tu_Hp08,H_papilio,darkseagreen4,Acadia
Am_tu_Hp09,H_papilio,darkseagreen4,Acadia
Am_tu_Hp11,H_papilio,darkseagreen4,Acadia
Am_tu_Hp12,H_papilio,darkseagreen4,Harvard_Forest
Am_tu_Hp13,H_papilio,darkseagreen4,Acadia
Am_tu_Hp14,H_papilio,darkseagreen4,Acadia
Am_tu_Hp15,H_papilio,darkseagreen4,Hawley_Bog
Am_tu_Hp16,H_papilio,darkseagreen4,Harvard_Forest
Am_tu_Hp17,H_papilio,darkseagreen4,Hawley_Bog
Am_tu_Hp18,H_papilio,darkseagreen4,Hawley_Bog
Am_tu_Hp19,H_papilio,darkseagreen4,Hawley_Bog
Am_tu_Hp20,H_papilio,darkseagreen4,Acadia
Am_tu_Hp21,H_papilio,darkseagreen4,Harvard_Forest
Am_tu_Hp22,H_papilio,darkseagreen4,Hawley_Bog
Am_tu_Hp23,H_papilio,darkseagreen4,Hawley_Bog
Am_tu_Hp24,H_papilio,darkseagreen4,Hawley_Bog
Am_tu_Hp25,H_papilio,darkseagreen4,Harvard_Forest
Am_tu_Hp27,H_papilio,darkseagreen4,Acadia
Am_tu_Hp28,H_papilio,darkseagreen4,Hawley_Bog
Am_tu_Hp29,H_papilio,darkseagreen4,Orono
