Orthogroup,Am_ar_Ehis,Am_di_Acas,Am_my_Asub,Am_my_Ddis,Am_my_Tlac,Am_tu_Aint,Am_tu_Amsp,Am_tu_Apro,Am_tu_As01,Am_tu_As02,Am_tu_As03,Am_tu_As04,Am_tu_As06,Am_tu_As07,Am_tu_Cesp,Am_tu_Cimp,Am_tu_Cpro,Am_tu_Crsp,Am_tu_Dbry,Am_tu_Dcom,Am_tu_Dfsp,Am_tu_Disp,Am_tu_He01,Am_tu_He04,Am_tu_He12,Am_tu_He14,Am_tu_He16,Am_tu_He19,Am_tu_He21,Am_tu_He24,Am_tu_He26,Am_tu_He28,Am_tu_He29,Am_tu_He30,Am_tu_He41,Am_tu_He42,Am_tu_He44,Am_tu_He47,Am_tu_He48,Am_tu_He51,Am_tu_He52,Am_tu_He54,Am_tu_Hp.T,Am_tu_Hp01,Am_tu_Hp02,Am_tu_Hp03,Am_tu_Hp04,Am_tu_Hp06,Am_tu_Hp07,Am_tu_Hp08,Am_tu_Hp09,Am_tu_Hp11,Am_tu_Hp12,Am_tu_Hp13,Am_tu_Hp14,Am_tu_Hp15,Am_tu_Hp16,Am_tu_Hp17,Am_tu_Hp18,Am_tu_Hp19,Am_tu_Hp20,Am_tu_Hp21,Am_tu_Hp22,Am_tu_Hp23,Am_tu_Hp24,Am_tu_Hp25,Am_tu_Hp27,Am_tu_Hp28,Am_tu_Hp29,Am_tu_Hp30,Am_tu_Hp31,Am_tu_Hp32,Am_tu_Hp76,Am_tu_Hp77,Am_tu_Hp78,Am_tu_Hp79,Am_tu_Hp80,Am_tu_Hp81,Am_tu_Hp82,Am_tu_Hp83,Am_tu_Hp84,Am_tu_Hp85,Am_tu_Hp86,Am_tu_Hp87,Am_tu_Hp88,Am_tu_Hp89,Am_tu_Hp90,Am_tu_Hp91,Am_tu_Hp92,Am_tu_Hr01,Am_tu_Hr02,Am_tu_Hr03,Am_tu_Hs01,Am_tu_Hs05,Am_tu_Hsph,Am_tu_Ls01,Am_tu_Ls04,Am_tu_Ls05,Am_tu_Nc01,Am_tu_Nc02,Am_tu_Nesp,Am_tu_Nf01,Am_tu_Nf02,Am_tu_Nf03,Am_tu_Nm01,Am_tu_Nosp,Am_tu_Ns03,Am_tu_Ns04,Am_tu_Ns05,Am_tu_Ns06,Am_tu_Ns07,Am_tu_Ns08,Am_tu_Ns09,Am_tu_Ns10,Am_tu_Ns11,Am_tu_Ns12,Am_tu_Ns13,Am_tu_Ns14,Am_tu_Ns15,Am_tu_Ns16,Am_tu_Ns17,Am_tu_Ns18,Am_tu_Ns21,Am_tu_Ns22,Am_tu_NspA,Am_tu_Nt01,Am_tu_Nt02,Am_tu_Ntsp,Am_tu_Pc01,Am_tu_Pope,Am_tu_Ps01,Am_tu_Qs01,Am_tu_Qs02,Am_tu_Qs03,Am_tu_Vesp,Am_uk_Uk01,Am_va_Pfun,Ba_ac_Srap,Ba_ad_Gtun,Ba_aq_Aaeo,Ba_aq_Pmar,Ba_ba_Bcae,Ba_ba_Bfra,Ba_bc_Cchl,Ba_bi_Ialb,Ba_ca_Cexi,Ba_cd_Cavi,Ba_cd_Cbac,Ba_ch_Caur,Ba_cv_Vesp,Ba_cy_Glit,Ba_cy_Maer,Ba_cy_Prma,Ba_cy_Smaj,Ba_de_Dswu,Ba_df_Ddes,Ba_fc_Ccel,Ba_fu_Fnec,Ba_pa_Abra,Ba_pb_Bpse,Ba_pg_Ecol,Ba_pl_Plsp,Ba_sp_Bmay,Ba_sy_Sjon,Ba_ts_Tthe,EE_ap_Ttra,EE_ha_Ctob,EE_ha_Ehux,Ex_eu_Lmaj,Ex_eu_Tbru,Ex_fo_Glab,Ex_fo_Ssal,Ex_he_Ngru,Ex_pa_Tvag,Op_fu_Afum,Op_fu_Aory,Op_fu_Calb,Op_fu_Cneo,Op_fu_Dpri,Op_fu_Scer,Op_me_Amel,Op_me_Bflo,Op_me_Ggal,Op_me_Hrob,Op_me_Hsap,Op_me_Tspi,Pl_gr_Atha,Pl_gr_Crei,Pl_gr_Cvar,Pl_gr_Hann,Pl_gr_Oluc,Pl_rh_Ccri,Pl_rh_Gsul,Sr_ap_Cmur,Sr_ap_Emax,Sr_ap_Pfal,Sr_ap_Tgon,Sr_ci_Scer,Sr_ci_Slem,Sr_ci_Tthe,Sr_di_Smic,Sr_pe_Pmar,Sr_rh_Bnat,Sr_rh_Pbra,Sr_rh_Rfil,Sr_st_Croe,Sr_st_Esil,Sr_st_Ngad,Sr_st_Pinf,Sr_st_Ptri,Za_as_Loki,Za_cr_Clag,Za_cr_Sisl,Za_eb_Mspa,Za_eh_Haci,Za_eh_Ngre,Za_em_Mhol,Za_ep_Tvol,Za_ko_Ckor,Za_na_Nequ,Za_pa_Maci,Za_th_Ngar,
OG0017533.fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OG0014919.fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OG0013912.fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OG0016065.fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OG0013902.fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OG0010252.fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OG0017546.fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OG0010237.fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OG0011697.fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OG0016082.fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OG0017513.fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
